Channel_Metadata_Filename,Channel_Metadata_ID
codex_level_2/channelNames/MarkerList_A055-C-212.csv,syn61375775
codex_level_2/channelNames/MarkerList_A055-C-213.csv,syn61375797
codex_level_2/channelNames/MarkerList_A057-C-112.csv,syn61375799
codex_level_2/channelNames/MarkerList_A057-C-113.csv,syn61375808
codex_level_2/channelNames/MarkerList_A057-C-115.csv,syn61375812
codex_level_2/channelNames/MarkerList_A057-C-116.csv,syn61375778
codex_level_2/channelNames/MarkerList_A069-C-052.csv,syn61375781
codex_level_2/channelNames/MarkerList_B001-A-201.csv,syn61375787
codex_level_2/channelNames/channelnames_B004-A-004.csv,syn61786217
codex_level_2/channelNames/MarkerList_B004-A-008.csv,syn61375815
codex_level_2/channelNames/channelnames_B004-A-404.csv,syn61375794
codex_level_2/channelNames/channelnames_B004-A-408.csv,syn61375751
codex_level_2/channelNames/channelnames_B004-A-504.csv,syn61375752
codex_level_2/channelNames/MarkerList_B005-A-002.csv,syn61375795
codex_level_2/channelNames/MarkerList_B006-A-101.csv,syn61375798
codex_level_2/channelNames/MarkerList_CRC_19779.csv,syn61375800
codex_level_2/channelNames/MarkerList_CRC_23135.csv,syn61375809
codex_level_2/channelNames/MarkerList_CRC_8396.csv,syn61375813
imaging_channel_data/TNP-TMA-1B_Channel-HTA14.csv,syn52287355
imaging_channel_data/TNP-TMA-2A_Channel-HTA14.csv,syn52287353
imaging_channel_data/TNP-TMA-7A_Channel-HTA14.csv,syn52287351
imaging_channel_data/TNP-TMA-8B_Channel-HTA14.csv,syn52287352
imaging_channel_data/TNP-TMA-28.txt,syn51526286
imaging_channel_data/Channel_cmIF_2021-11-21_HTAN-B.csv,syn52287382
imaging_channel_data/Channel_cmIF_2021-11-21_HTAN-A.csv,syn52287380
imaging_level_2/SDA_MarkerTable.csv,syn52288400
merfish_auxiliary_files_melanoma/dataorganization_processed.csv,syn61377415
merfish_auxiliary_files_breast/dataorganization_processed.csv,syn60219671
imaging_channel_data/HMS-tCyCIF-OHSU-TMATNP-channel-metadata-v1-tumor_panel.csv,syn52287357
imaging_channel_data/HMS-tCyCIF-OHSU-TMATNP-channel-metadata-v1-immune_panel.csv,syn52287350
imaging_channel_data/OHSU_TMA1_026.txt,syn51526283
imaging_channel_data/OHSU_TMA1_025.txt,syn51526285
imaging_channel_data/45-10-immune.csv,syn52287381
imaging_channel_data/45-9-tumor.csv,syn52287383
imaging_channel_data/p45-e8-htan_channel_antibody_report-tumor_panel.csv,syn53293986
imaging_channel_data/p45-e18-htan_channel_antibody_report-immune_panel.csv,syn53293994
ORION202307_channel_metadata/73-11-channel-metadata.csv,syn52132423
ORION202307_channel_metadata/73-10-channel-metadata.csv,syn52132424
