Channel_Metadata_Filename,channel_metadata_url,entityId,File_Size,md5
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280030000000000_metadata.csv,syn25126392,19188,ffb04667975a5ac6d5ec93e1e17994c7
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280040000000000_metadata.csv,syn25126391,19188,cfc5e9210e60bd7976bb015aa3b105b5
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280050000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280050000000000_metadata.csv,syn25126390,19188,ba0a18f6af0a3313a52871b62b613739
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280010000000000_metadata.csv,syn25126461,19020,17d8f18cdb5d7f784b81440fe2263e1a
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280020000000000_metadata.csv,syn25126458,19020,36f9908e141b4ad04b5101aa6a87b4e3
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280030000000000_metadata.csv,syn25126457,19020,5bc4eaeaaf82c7b54c37d4295f5a6f7f
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280010000000000_metadata.csv,syn25126456,18992,9c538abfb8dec21de39a73078f1112ec
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280020000000000_metadata.csv,syn25126455,19048,011d7935a46bfa48547dfabf34750ffe
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280030000000000_metadata.csv,syn25126454,18992,5d22a59eecb9470949a30dc9d80f753a
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260010000000000_metadata.csv,syn25126453,17785,accd716487e6e6f13a67de24879a1f4a
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260020000000000_metadata.csv,syn25126452,17785,f252f2102db49b8a00a904c57eb77fd7
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260030000000000_metadata.csv,syn25126450,17759,21d1da571223ee6c46dc9284256f4905
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260040000000000_metadata.csv,syn25126449,17785,72ff3e44e461c524273d4dd95f5a5052
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260050000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260050000000000_metadata.csv,syn25126448,17785,5982fd231b1c85f47aaddfe2786805e1
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260060000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260060000000000_metadata.csv,syn25126447,17785,aaa8f158f40ed49958e40e98dcad7102
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260010000000000_metadata.csv,syn25126446,17707,0c326579b9ea0423c65b6620c1b85d70
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260020000000000_metadata.csv,syn25126445,17707,872f2aac6943dd6a6ca98b05f94d3061
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260030000000000_metadata.csv,syn25126444,17707,2945fa98b2e0567e2ad07ea5b1acaf80
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260040000000000_metadata.csv,syn25126443,17707,da561c503b9803836f35b17aef1d5d5b
mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280010000000000_metadata.csv,syn25126388,19132,7d61ae1a0ec70b532fef92411b1b8734
mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280020000000000_metadata.csv,syn25126387,19132,157273ae3ff6a088d97e14fe0397f19c
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280010000000000_metadata.csv,syn25126386,19132,260371c5c69b5621f83b5c15172af73a
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280020000000000_metadata.csv,syn25126385,19132,9aa67cb0c60fe2230f1cd83900a10895
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280030000000000_metadata.csv,syn25126384,19188,82452d81a0247af6689bb2c9a3ca311d
mxif_level_2/AFsubtracted/metadata/HTA11_4814_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_4814_20000010115220260010000000000_metadata.csv,syn25126383,17837,37195a88f03062a9786138c6587dcf0f
mxif_level_2/AFsubtracted/metadata/HTA11_5212_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5212_20000010115220280010000000000_metadata.csv,syn25126382,19188,90513973e4d5e90b2141686b111f4c24
mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280010000000000_metadata.csv,syn25126381,19132,f1b607b1c2307c078483c22b6846d6a9
mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280020000000000_metadata.csv,syn25126380,19132,3023c8ee271850bfdf3f8fb2f586db4b
mxif_level_2/AFsubtracted/metadata/HTA11_5363_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5363_20000010115220260010000000000_metadata.csv,syn25126379,17863,c8db8e7f3ccd428b53a98993fd6c4831
mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280010000000000_metadata.csv,syn25126441,18992,e9302f12dfcdcfd7bbd7749453a8fd3c
mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280020000000000_metadata.csv,syn25126440,19020,b7155d1fd040d25fc7ff3c8ec91e845e
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260010000000000_metadata.csv,syn25126378,17863,ed3422324afadcf825b3c248daa894d1
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260020000000000_metadata.csv,syn25126377,17811,fecdf58d93c7b509fe02ebb3d6391315
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260030000000000_metadata.csv,syn25126376,17811,0f33424d72585ed710d7f756786c9ffe
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260040000000000_metadata.csv,syn25126374,17811,8d770b576257068925f825862b030957
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260050000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260050000000000_metadata.csv,syn25126373,17837,ee87fd903c9b6dd40d99267619465f47
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260060000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260060000000000_metadata.csv,syn25126372,17837,49aeb5a9df5827ca7eaaa4efa0a3224f
